time,longitude,latitude
2007-01-16,-121.99213237248811,36.60919487980495
2007-01-17,-120.67247517142933,36.036224152991245
2007-01-18,-119.34720818285442,35.25834271345684
2007-01-19,-118.63495393086528,34.66393167171968
2007-01-20,-118.01571382969419,34.12593654913286
2007-01-21,-117.48565447821834,33.633690429434125
2007-01-22,-117.12090024568408,33.173259531278035
2007-01-23,-116.83422598847996,32.79687518577616
2007-01-24,-116.7892432494642,32.450818338773956
2007-01-25,-116.92747040258163,32.10818549224369
2007-01-26,-117.30378511121815,31.733482635723973
2007-01-27,-117.65452728808683,31.42879499972085
2007-01-28,-117.95936041066565,31.170928330994933
2007-01-29,-118.25253221118132,30.91033319134825
2007-01-30,-118.48088350995404,30.61691008286602
2007-01-31,-118.82586682646769,30.2702367690302
2007-02-01,-119.14378595587719,29.885347006125322
2007-02-02,-119.52456565378112,29.42723081502068
2007-02-03,-119.76999804786553,28.944537235690465
2007-02-04,-119.89747234782388,28.44727401911429
2007-02-05,-119.95126060113864,27.92305078450118
2007-02-06,-119.87111553788054,27.3889763071409
2007-02-07,-119.73335961703413,26.848808357044355
2007-02-08,-119.54483976050768,26.32288713724278
2007-02-09,-119.25405187560307,25.855811045299408
2007-02-10,-118.98919706234176,25.54881733343088
2007-02-11,-118.67804055184827,25.196067370359458
2007-02-12,-118.14980638890398,24.834901811556364
2007-02-13,-117.70181615472717,24.574762016256535
2007-02-14,-117.08883634889796,24.33248135892202
2007-02-15,-116.55040656567891,24.167637433071025
2007-02-16,-116.2559730774913,24.06959361051876
2007-02-17,-116.01409766522751,23.962454247833676
2007-02-18,-115.71198800489697,23.828527929661618
2007-02-19,-115.41872317733811,23.717162945011577
2007-02-20,-115.06100909506702,23.617050448325074
2007-02-21,-114.83446003903576,23.546481548428112
2007-02-22,-114.51645834913916,23.502079278345064
2007-02-23,-114.1806831480264,23.455624756206007
2007-02-24,-113.86098116173079,23.41155633850287
2007-02-25,-113.59223297866933,23.366229302073812
2007-02-26,-113.32571129531992,23.333143466740182
2007-02-27,-112.94946172050909,23.311299225116606
2007-02-28,-112.5455087004601,23.29428027663917
2007-03-01,-112.15041526743357,23.278312907175234
2007-03-02,-111.67614277372508,23.262880128172142
2007-03-03,-111.23811943839812,23.248251117586705
2007-03-04,-110.76300510450554,23.232214755948874
2007-03-05,-110.30546100559818,23.209526897756653
2007-03-06,-109.88814626224527,23.18649402999425
2007-03-07,-109.4678325782904,23.16982107025833
2007-03-08,-108.96802734548378,23.157938308778093
2007-03-09,-108.40170442898341,23.15197652537912
2007-03-10,-107.90733889940643,23.148901829968253
2007-03-11,-107.54543023495305,23.147679746922595
2007-03-12,-107.20626005121801,23.15348078815935
2007-03-13,-107.072604603201,23.164424703013502
2007-03-14,-107.07962279523272,23.185128776358923
2007-03-15,-107.1011515299077,23.215600145891663
2007-03-16,-107.12487578839406,23.252656502465324
2007-03-17,-107.1234000129462,23.295585773719907
2007-03-18,-107.07216435698713,23.34162047310921
2007-03-19,-107.03102734481934,23.389899085561588
2007-03-20,-107.02721961777253,23.439014223987297
2007-03-21,-107.02824693014962,23.487476817944586
2007-03-22,-107.01047022778408,23.533674089479128
2007-03-23,-106.94623762156121,23.5778293190818
2007-03-24,-106.82030217167113,23.622472637907062
2007-03-25,-106.70213852332009,23.668028171533912
2007-03-26,-106.67015254698634,23.71343919074668
2007-03-27,-106.68712765700602,23.75599023809587
2007-03-28,-106.66207311872577,23.795461752508245
2007-03-29,-106.66944338047261,23.833876411665194
2007-03-30,-106.7548783129007,23.87808986591859
2007-03-31,-106.81018160734138,23.92238114868348
2007-04-01,-106.79840679228248,23.96629682160731
2007-04-02,-106.81982468814172,24.013191203227723
2007-04-03,-106.86139172257455,24.058332165921513
2007-04-04,-106.79844750524421,24.107189208402318
2007-04-05,-106.68887166998545,24.16185092240187
2007-04-06,-106.63366040114727,24.22490788839127
2007-04-07,-106.58962504972662,24.283704293569958
2007-04-08,-106.5276522730587,24.33082744132065
2007-04-09,-106.44307065450435,24.375018252854595
2007-04-10,-106.38470981951099,24.405186185964702
2007-04-11,-106.34791810715896,24.41663811506926
2007-04-12,-106.2632984037293,24.411642421882558
2007-04-13,-106.24716961917991,24.410749057017664
2007-04-14,-106.23837411805553,24.396144133968722
2007-04-15,-106.1708966825752,24.347848607062716
2007-04-16,-106.11606113657456,24.26131239589389
2007-04-17,-106.21943474809228,24.16289034062889
2007-04-18,-106.44107226875633,24.026704684834144
2007-04-19,-106.70459413218103,23.84312968228963
2007-04-20,-107.13375589529457,23.625430693693076
2007-04-21,-107.85997536894908,23.369020626563923
2007-04-22,-108.88583007228465,23.070875070296033
