time,longitude,latitude
2008-06-18,-118.212890625,33.6891932562074
2008-06-19,-118.212890625,33.510056066253014
2008-06-20,-118.125,33.420626505466025
2008-06-21,-118.125,33.420626505466025
2008-06-22,-118.125,33.24204293491424
2008-06-23,-118.125,33.24204293491424
2008-06-24,-118.125,33.24204293491424
2008-06-25,-118.125,33.24204293491424
2008-06-26,-118.037109375,33.33128896168178
2008-06-27,-117.94921875,33.420626505466025
2008-06-28,-117.861328125,33.15288792861988
2008-06-29,-117.94921875,33.24204293491424
2008-06-30,-118.037109375,33.510056066253014
2008-07-01,-118.037109375,33.15288792861988
2008-07-02,-118.125,33.24204293491424
2008-07-03,-117.94921875,33.24204293491424
2008-07-04,-118.037109375,33.15288792861988
2008-07-05,-118.125,33.06382344966229
2008-07-06,-118.125,33.06382344966229
2008-07-07,-118.125,33.06382344966229
2008-07-08,-118.125,33.06382344966229
2008-07-09,-117.94921875,33.06382344966229
2008-07-10,-117.94921875,33.06382344966229
2008-07-11,-117.94921875,33.06382344966229
2008-07-12,-117.94921875,33.06382344966229
2008-07-13,-117.94921875,33.06382344966229
2008-07-14,-118.037109375,33.15288792861988
2008-07-15,-118.125,33.06382344966229
2008-07-16,-118.30078125,33.06382344966229
2008-07-17,-118.212890625,32.974849008277324
2008-07-18,-118.30078125,33.06382344966229
2008-07-19,-118.30078125,33.06382344966229
2008-07-20,-118.30078125,33.06382344966229
2008-07-21,-118.30078125,33.06382344966229
2008-07-22,-118.30078125,33.06382344966229
2008-07-23,-118.388671875,33.15288792861988
2008-07-24,-118.388671875,33.15288792861988
2008-07-25,-118.212890625,33.15288792861988
2008-07-26,-117.94921875,33.06382344966229
2008-07-27,-117.94921875,33.06382344966229
2008-07-28,-117.7734375,33.06382344966229
2008-07-29,-117.685546875,32.974849008277324
2008-07-30,-117.685546875,32.974849008277324
2008-07-31,-117.7734375,32.88596411803864
2008-08-01,-117.861328125,32.797168295823646
2008-08-02,-117.861328125,32.797168295823646
2008-08-03,-117.861328125,32.6198419392921
2008-08-04,-117.94921875,32.53131045494909
2008-08-05,-117.94921875,32.53131045494909
2008-08-06,-117.94921875,32.53131045494909
2008-08-07,-117.94921875,32.53131045494909
2008-08-08,-117.94921875,32.53131045494909
2008-08-09,-117.861328125,32.44286613851179
2008-08-10,-117.861328125,32.6198419392921
2008-08-11,-117.7734375,32.70846106177992
2008-08-12,-117.7734375,32.70846106177992
2008-08-13,-117.59765625,32.70846106177992
2008-08-14,-117.59765625,32.70846106177992
2008-08-15,-117.509765625,32.6198419392921
2008-08-16,-117.509765625,32.797168295823646
2008-08-17,-117.509765625,32.797168295823646
2008-08-18,-117.421875,32.88596411803864
2008-08-19,-117.421875,32.70846106177992
2008-08-20,-117.421875,32.70846106177992
2008-08-21,-117.421875,32.70846106177992
2008-08-22,-117.509765625,32.6198419392921
2008-08-23,-117.59765625,32.70846106177992
2008-08-24,-117.59765625,32.70846106177992
2008-08-25,-117.59765625,32.70846106177992
2008-08-26,-117.685546875,32.6198419392921
2008-08-27,-117.685546875,32.44286613851179
2008-08-28,-117.509765625,32.44286613851179
2008-08-29,-117.509765625,32.44286613851179
2008-08-30,-117.509765625,32.44286613851179
2008-08-31,-117.509765625,32.44286613851179
2008-09-01,-117.509765625,32.44286613851179
2008-09-02,-117.509765625,32.6198419392921
2008-09-03,-117.509765625,32.6198419392921
2008-09-04,-117.59765625,32.53131045494909
2008-09-05,-117.59765625,32.70846106177992
2008-09-06,-117.59765625,32.70846106177992
2008-09-07,-117.59765625,32.70846106177992
2008-09-08,-117.59765625,32.88596411803864
2008-09-09,-117.421875,32.88596411803864
2008-09-10,-117.421875,33.06382344966229
2008-09-11,-117.421875,33.06382344966229
2008-09-12,-117.421875,33.06382344966229
2008-09-13,-117.509765625,33.15288792861988
2008-09-14,-117.59765625,33.24204293491424
2008-09-15,-117.685546875,33.33128896168178
2008-09-16,-117.7734375,33.420626505466025
2008-09-17,-117.7734375,33.420626505466025
2008-09-18,-117.7734375,33.420626505466025
2008-09-19,-117.7734375,33.420626505466025
2008-09-20,-117.861328125,33.33128896168178
2008-09-21,-117.861328125,33.33128896168178
2008-09-22,-117.94921875,33.24204293491424
2008-09-23,-118.037109375,33.33128896168178
2008-09-24,-117.861328125,33.33128896168178
2008-09-25,-117.861328125,33.33128896168178
2008-09-26,-117.861328125,33.33128896168178
2008-09-27,-117.861328125,33.33128896168178
2008-09-28,-117.7734375,33.420626505466025
2008-09-29,-117.685546875,33.33128896168178
2008-09-30,-117.685546875,33.33128896168178
2008-10-01,-117.685546875,33.33128896168178
2008-10-02,-117.861328125,33.33128896168178
2008-10-03,-117.7734375,33.420626505466025
2008-10-04,-117.861328125,33.510056066253014
2008-10-05,-117.861328125,33.510056066253014
2008-10-06,-117.861328125,33.510056066253014
2008-10-07,-117.861328125,33.510056066253014
2008-10-08,-117.861328125,33.510056066253014
2008-10-09,-117.685546875,33.15288792861988
2008-10-10,-117.7734375,33.06382344966229
2008-10-11,-117.685546875,32.974849008277324
2008-10-12,-117.685546875,32.974849008277324
2008-10-13,-117.509765625,32.974849008277324
2008-10-14,-117.59765625,33.06382344966229
2008-10-15,-117.59765625,32.88596411803864
2008-10-16,-117.509765625,32.797168295823646
2008-10-17,-117.685546875,32.797168295823646
2008-10-18,-117.685546875,32.797168295823646
2008-10-19,-117.7734375,32.88596411803864
2008-10-20,-117.685546875,32.797168295823646
2008-10-21,-117.685546875,32.797168295823646
2008-10-22,-117.59765625,32.70846106177992
2008-10-23,-117.685546875,32.797168295823646
2008-10-24,-117.7734375,32.70846106177992
2008-10-25,-117.7734375,32.70846106177992
2008-10-26,-117.861328125,32.6198419392921
2008-10-27,-117.861328125,32.6198419392921
2008-10-28,-117.861328125,32.44286613851179
2008-10-29,-117.861328125,32.26623714406663
